1	BLN-KIK-ABLNG1	1	1677831.9	5405491.75	22.31
2	BLN-KIK-A0001	1	1677836.03	5405535.88	22.34
3	BLN-KIK-A0002	1	1677680.31	5405722.05	22.69
4	BLN-KIK-A0003	1	1677456.56	5405989.54	23.29
5	BLN-KIK-A0004	1	1677271.38	5406210.89	24.05
6	BLN-KIK-A0005	1	1677173.7	5406350.72	25.4
7	BLN-KIK-A0006	1	1676968.83	5406445.25	25.74
8	BLN-KIK-A0007	1	1676801.52	5406558.73	26.37
9	BLN-KIK-A0008	1	1676631.54	5406675.2	26.98
10	BLN-KIK-A0009	1	1676527.86	5406740.57	25.96
11	BLN-KIK-A0010	1	1676403.93	5406818.69	25.95
12	BLN-KIK-A0011	1	1676302.99	5406836.68	25.61
13	BLN-KIK-A0012	1	1676198.87	5406827.6	26.56
14	BLN-KIK-A0013	1	1676066.36	5406780.62	26.38
15	BLN-KIK-A0014	1	1675959.85	5406721.68	27.46
16	BLN-KIK-A0015	1	1675852.32	5406655.51	27.81
17	BLN-KIK-A0016	1	1675719.89	5406574.29	28.58
18	BLN-KIK-A0017	1	1675602.81	5406502.58	27.41
19	BLN-KIK-A0018	1	1675425.92	5406394.0	28.69
20	BLN-KIK-A0019	1	1675266.64	5406296.91	29.14
21	BLN-KIK-A0020	1	1675102.95	5406195.68	29.15
22	BLN-KIK-A0021	1	1674946.45	5406100.18	29.68
23	BLN-KIK-A0022	1	1674790.35	5406003.22	31.19
24	BLN-KIK-A0023	1	1674582.26	5405925.7	31.33
25	BLN-KIK-A0024	1	1674402.35	5405857.18	32.12
26	BLN-KIK-A0025	1	1674227.36	5405790.99	32.09
27	BLN-KIK-A0026	1	1674048.73	5405722.81	33.66
28	BLN-KIK-A0027	1	1673838.78	5405664.1	33.18
29	BLN-KIK-A0028	1	1673673.03	5405617.36	34.1
30	BLN-KIK-A0029	1	1673445.51	5405634.33	34.78
31	BLN-KIK-A0030	1	1673338.85	5405641.93	35.32
32	BLN-KIK-A0031	1	1673233.81	5405649.83	35.52
33	BLN-KIK-A0032	1	1673033.59	5405664.47	36.14
34	BLN-KIK-A0033	1	1672844.68	5405677.99	36.64
35	BLN-KIK-A0034	1	1672646.88	5405692.91	36.96
36	BLN-KIK-A0035	1	1672464.07	5405705.66	38.15
37	BLN-KIK-A0036	1	1672250.35	5405721.37	38.95
38	BLN-KIK-A0037	1	1672056.74	5405735.55	39.58
39	BLN-KIK-A0038	1	1671840.55	5405751.14	40.33
40	BLN-KIK-A0039	1	1671639.48	5405765.95	40.07
41	BLN-KIK-A0040	1	1671474.37	5405777.91	40.52
42	BLN-KIK-A0041	1	1671247.41	5405794.8	42.34
43	BLN-KIK-A0042	1	1671075.23	5405807.02	42.37
44	BLN-KIK-A0043	1	1670883.73	5405821.02	43.51
45	BLN-KIK-A0044	1	1670695.49	5405834.35	43.05
46	BLN-KIK-A0045	1	1670493.58	5405849.28	44.96
47	BLN-KIK-A0046	1	1670303.65	5405863.25	45.28
48	BLN-KIK-A0047	1	1670100.26	5405877.92	42.5
49	BLN-KIK-A0048	1	1669919.0	5405891.28	47.23
50	BLN-KIK-A0049	1	1669729.71	5405913.61	47.12
