BLN-KIK-A0035 - BLN-KIK-A0036	1672464.07	5405705.66	38.15	1672250.35	5405721.37	38.95
BLN-KIK-A0035 - BLN-KIK-A0036	1672464.07	5405705.66	38.15	1672250.35	5405721.37	38.95
BLN-KIK-A0036 - BLN-KIK-A0037	1672250.35	5405721.37	38.95	1672056.74	5405735.55	39.58
BLN-KIK-A0036 - BLN-KIK-A0037	1672250.35	5405721.37	38.95	1672056.74	5405735.55	39.58
BLN-KIK-A0058 - BLN-KIK-A0059	1668049.82	5405861.98	53.7	1667864.95	5405795.36	54.56
BLN-KIK-A0113 - BLN-KIK-A0114	1658891.8	5400956.33	200.68	1658780.89	5400945.51	222.89
BLN-KIK-A0120 - BLN-KIK-A0121	1657006.11	5401155.42	244.25	1656768.6	5401181.21	234.08
BLN-KIK-A0258 - BLN-KIK-A0259	1633935.77	5394474.73	232.8	1633770.64	5394371.37	234.52
BLN-KIK-A0258 - BLN-KIK-A0259	1633935.77	5394474.73	232.8	1633770.64	5394371.37	234.52
BLN-KIK-A0299 - BLN-KIK-A0300	1627689.84	5391840.05	278.62	1627546.74	5391762.81	279.92
BLN-KIK-A0318 - BLN-KIK-A0319	1625091.15	5389830.77	303.73	1624927.95	5389726.86	304.85
BLN-KIK-A0346 - BLN-KIK-A0347	1619982.87	5388645.34	344.01	1619801.86	5388612.21	344.37
BLN-KIK-A0346 - BLN-KIK-A0347	1619982.87	5388645.34	344.01	1619801.86	5388612.21	344.37
BLN-KIK-A0349 - BLN-KIK-A0350	1619436.95	5388544.6	347.31	1619118.01	5388485.62	378.76
BLN-KIK-A0381 - BLN-KIK-A0382	1614586.26	5384779.26	454.97	1614436.92	5384742.11	464.0
BLN-KIK-A0383 - BLN-KIK-A0384	1614274.4	5384683.58	467.07	1614150.28	5384638.7	462.63
BLN-KIK-A0383 - BLN-KIK-A0384	1614274.4	5384683.58	467.07	1614150.28	5384638.7	462.63
BLN-KIK-A0383 - BLN-KIK-A0384	1614274.4	5384683.58	467.07	1614150.28	5384638.7	462.63
BLN-KIK-A0387 - BLN-KIK-A0388	1613679.99	5384468.08	452.63	1613530.86	5384413.84	451.27
BLN-KIK-A0387 - BLN-KIK-A0388	1613679.99	5384468.08	452.63	1613530.86	5384413.84	451.27
BLN-KIK-A0396 - BLN-KIK-A0397	1611979.38	5383850.43	468.6	1611817.65	5383791.52	466.95
BLN-KIK-A0404 - BLN-KIK-A0405	1610821.52	5383429.43	438.43	1610578.29	5383341.64	421.06
BLN-KIK-A0406 - BLN-KIK-A0407	1610394.28	5383274.33	419.98	1610233.07	5383271.96	412.22
BLN-KIK-A0499 - BLN-KIK-A0500	1594664.01	5375574.9	711.37	1594456.25	5375557.16	709.93
BLN-KIK-A0499 - BLN-KIK-A0500	1594664.01	5375574.9	711.37	1594456.25	5375557.16	709.93
BLN-KIK-A0508 - BLN-KIK-A0509	1593258.02	5375453.57	732.76	1593023.46	5375526.59	745.45
BLN-KIK-A0566 - BLN-KIK-A0567	1590618.25	5384992.17	583.25	1590529.58	5385377.02	573.75
